projecto;descrição;distrito;setor;aumento das emissões esperadas (se disponíveis);proprietários
Construções no Porto de Setúbal e dragagens de aprofundamento do canal da Barra e do Canal Norte Norte;;;Transporte (navegação);;
Expansão da capacidade do Porto de Aveiro;;;Transporte (navegação);;
Porto de Viana do Castelo - Desenvolvimento;;;Transporte (navegação);;
Desenvolvimento de Aquicultura Sustentável;;;Mar;;
Primeira interligação elétrica entre Portugal e Marrocos - Ligação entre o Sul do País, Algarve, e o Noroeste do Reino de Marrocos;;;Energia;;
Nova interligação Minho-Galiza;;;Energia;;
GNL marítimo;;;Energia;;
Instalação dos cabos elétricos submarinos de ligação dos parques de produção de  energia offshore e aos pontos de interligação com à Rede Elétrica Nacional;;;Energia;;
Projecto Industrial de Produção de Hidrogénio em Sines;;;Energia;;
37 projetos já aprovados pelo Governo no âmbito do hidrogénio verde;;;Energia;;
Projecto de Hidrogénio na Central Termoélectrica da Tapada do Outeiro;;;Energia;;TURBOGÁS
Projecto de Hidrogénio na Central Termoélectrica do Ribatejo;;;Energia;;EDP
Nova instalação avícola Dourado Quotidiano, Lda.;Instalação avícola para produção intensiva de frangos de carne - 79200 frangos por ciclo;Viseu;Carnes;;Dourado Quotidiano, Lda.
Aumento de capacidade da Herdade da Rosenta, em Montemor-o-Novo;actualmente têm 800 porcas reprodutoras e 44 varrascos em regime  intensivo. Pretende-se  agora  alterar  o  tipo  de  produção para  recria  e acabamento de animais, com uma capacidade para 7834animais em recria e 13760 animais de engorda, ou seja, 2455,7CN. Com esta alteraçãonãohaverá alteração em termos  de implantação  dos  edifícios.Asalteraçõesa efetuar serão  apenas  no interior das instalações.;;Carnes;;EUROESTE, SA
EN211 - Variante entre Quintã e Mesquinhata;;;Transportes - rodoviário;;Infraestruturas de Portugal, S.A.
Instalação Avícola da Valeira Baixa;capacidade total para 61 500 aves/ciclo e um total de cerca de 130.000 perus/ano. ;Santarém;Carnes;;Triperu - Sociedade de Produção e Comercialização Aves, SA
Instalação avícola de Proença-a-Nova ;6 pavilhões avícolasdestinados à criação de intensiva de frangos de engorda, com  uma  capacidade  instalada  de  690.000  frangos/ciclo  de  produção;Castelo Branco;Carnes;;Meigal -Construção e Adm. Propriedades S.A -> Grupo Lusiaves
Ampliação da Pedreira n.º 6619 - Plaina das Queirogas;;;Extração;;Brivel - Britas e Betões de Vila Real
Ampliação da Pedreira n.º 5111 – Sorte do Mato das Lagedas;;;Extração;;BRITAMINHO – Granitos e Britas do Minho, LDA.
Ampliação e Fusão das Pedreiras nº 4868 – Poço Negro nº 3, nº 4811 – Vilar nº 5 e nº 5550 –Poço nº 4;;;Extração;;Britafiel - Agregados e Ornamentais, S.A.
"Ampliação da Pedreira ""Pia das Lages nº 3""";;;Extração;;Bentos Indústria de Mármores Lda
Exploração da Pedreira Carrascal;;;Extração;;Óbidos Azul, Lda.
Ampliação da Pedreira n.º 5755 – Paçô;;;Extração;;
Pedreira N.º 6284 – Zibreira;;;Extração;;
"Pedreira ""Vale Salgueiro""";O  projeto  consiste  na  exploração  de  uma  pedreira  com  uma  área  total  5,2  hectares  e  uma  área de escavação de 4,1 hectares. Localiza-se no  concelho  de  Anadia,  na  freguesia  de  Avelãs de Cima (ver Figura 1), no distrito de Aveiro. O  projeto  insere-se  na  área  declarada  cativa  para  Argilas  Especiais  de  Águeda  -  Anadia;;Extração;;Corbário  -  Minerais  Industriais,  S.A
Projeto da “Ampliação da Pedreira n.º 6598 – Caminho Velho”;6,0 há, na serra da Falperra, freguesia de Torre do Pinhão, concelho de Sabrosa e dentro da área definida para a exploração de granito;;Extração;;Gravalima - Granitos do Vale do Lima, Lda.
"Ampliação da Pedreira n.º 6560 ""Barreiras-Carapinhal""";;;Extração;;Sorgila - Sociedade de Argilas, S.A.
Ampliação da Pedreira n.º 5354 - Pedreira das Lages;;;Extração;;Nital - Granito Natural, Lda.
Projeto de Ampliação e Fusão das Pedreiras n.º 6476 - “Fojos n.º 6”, n.º 5123 - “Fojos n.º 13”, n.º 5135 - “Grulha” e n.º 5133 - “Felgueira do Moço”;;;Extração;;Oliveira Rodrigues - Granitos de Pedras Salgadas, Lda.
