rank;unidade;local;distrito;emissões (t CO2eq);emissões (t GAS);proprietário-operador;empresa;setor;comentários;percentagem emissões territoriais;ano
54;SN SEIXAL - Siderurgia Nacional,S.A;Paio Pires, Seixal;Setúbal;85707;;SN Seixal Siderurgia Nacional,SA → Megasa group;Megasa Group;Ferro e Aço;" esta fábrica é especializada no fabrico de fio-máquina de baixo, médio e alto carbono. A flexibilidade da sua unidade industrial permite-lhe oferecer também varão de aço nervurado para armadura de betão, em diferentes apresentações; barra, bobine, spool e carrete.";0.125910093;2018
55;Gallo Vidro;Marinha Grande;Leiria;80650;;GALLOVIDRO, S.A. -> Vidrala;Vidrala;Vidro;Instalações para o fabrico de vidro, incluindo fibra de vidro;0.118480975;2018
56;Aeroporto Internacional de Faro;Faro;Faro;75573;74802 t CO2, 7 t CH4, 2 t N2O;Vinci;Vinci;Transportes - aviação;;0.111022477;2017
57;Porto de Lisboa;Lisboa;Lisboa;69138.5;68385 t CO2, 6.3 t CH4, 2 t N2O;Público/Estado;Público/Estado;Transportes - navegação;;0.101569708;2017
58;Aterro para resíduos industriais não perigosos da Chamusca;Chamusca;Santarém;67750;2710 t CH4;RIBTEJO - Tratamento e Valorização de Resíduos Industriais, S.A.;RIBTEJO - Tratamento e Valorização de Resíduos Industriais;Resíduos;Tratamento e eliminação de resíduos;0.099529896;2017
59;Microlime - Fábrica de Fátima;Aldeia de Paio Pires, Seixal;Setúbal;65261;;MICROLIME - Produtos de Cal e Derivados, S.A.;MICROLIME - Produtos de Cal e Derivados;Construção;produção de cimento clínquer;0.095873366;2018
60;Porto de Leixões;Matosinhos;Porto;63194;62448 t CO2, 6 t CH4, 2 t N2O;Público/Estado;Público/Estado;Transportes - navegação;;0.092836786;2017
61;Ecoparque da Ilha de S. Miguel;Ponta Delgada;Ilha de São Miguel, Açores;62750;2510 t CH4;MUSAMI - Operações Municipais do Ambiente E.I.M., S.A;MUSAMI;Resíduos;Tratamento e eliminação de resíduos;0.092184516;2017
62;Centro de Produção de Estarreja;Estarreja;Aveiro;61533;;"Air Liquide: Sociedade Portuguesa do Ar Líquido ""ARLIQUIDO"" LDA";Air Liquide;Energia - produção de Hidrogénio;;0.090396651;2018
63;UPCB - Unidade de Produção de Celorico de Basto - Resinorte (Aterro, Triagem e TM);Celorico de Basto;Braga;56250;2250 t CH4;RESINORTE - Valorização e Tratamento de Resíduos Sólidos, S.A.;RESINORTE;Resíduos;Tratamento e eliminação de resíduos;0.082635522;2017
64;Renova - Fábrica de Papel do Almonda, S.A. - Fábrica 2;Torres Novas;Santarém;53885;;Renova - Fábrica de Papel do Almonda, S.A.;Renova;Papel;Instalações industriais para a produção de papel e cartão e outros produtos de madeira primária (tais como aglomerado de partículas, cartão de fibras e contraplacado);0.079161158;2018
65;UPRA – Aterro Sanitário de Santo Tirso - Resinorte (Aterro);Santo Tirso;Porto;53250;2130 t   CH4;RESINORTE - Valorização e Tratamento de Resíduos Sólidos, S.A.;RESINORTE;Resíduos;Tratamento e eliminação de resíduos;0.078228294;2017
66;SN MAIA - Siderurgia Nacional, S.A;S. Pedro de Fins, Maia;Porto;53091;;SN Maia - Siderurgia Nacional, SA → Megasa Grupo;Megasa Group;Ferro e Aço;produtora de aço nervurado em varão;0.077994711;2018
67;Dow Portugal, Produtos Químicos, S.U.L;Estarreja;Aveiro;52842;;DOW Portugal, Produtos Químicos, SUL;DOW;Químicos - Combustão de combustíveis nas instalações;produz MDI (metil difenil isocianato), matéria prima essencial para a produção de poliuretano;0.077628911;2018
68;Parque de Gestão Ambiental;;Évora;50000;2000 t CH4;GESAMB-Gestão Ambiental e de Resíduos, EIM;GESAMB-Gestão Ambiental e de Resíduos;Resíduos;Tratamento e eliminação de resíduos;0.073453798;2017
69;Companhia Térmica Tagol, Lda;Almada;Setúbal;47177;;Companhia Térmica Tagol, Lda;Companhia Térmica Tagol;Energia e Comida - Combustão de combustíveis nas instalações;"Esta unidade encontra-se localizada no interior das instalações da Sovena, Oilseeds Portugal, S.A, sendo todo o vapor utilizado por esta;";0.069306596;2018
70;Unidade da Resulima - Viana do Castelo (Aterro e Triagem);;Viana do Castelo;42250;1690 t CH4;Resulima - Valorização e Tratamento de Resíduos Sólidos, S. A.;Resulima - Valorização e Tratamento de Resíduos Sólidos;Resíduos;Tratamento e eliminação de resíduos;0.062068459;2017
71;Parque Ambiental do Nordeste Transmontano (PANT);Vila Flor;Bragança;41000;1640 t CH4;Residuos do Nordeste, EIM;Residuos do Nordeste;Resíduos;Tratamento e eliminação de resíduos;0.060232114;2017
72;UPCB - Aterro Sanitário de Vila Real - Resinorte (Aterro);;Vila Real;41000;1640 t CH4;RESINORTE - Valorização e Tratamento de Resíduos Sólidos, S.A.;RESINORTE;Resíduos;Tratamento e eliminação de resíduos;0.060232114;2017
73;Aeroporto João Paulo II (Ponta Delgada);Ponta Delgada;Ilha de São Miguel, Açores;39106;38733 t CO2, 3 t CH4, 1 t N2O;Vinci;Vinci;Transportes - aviação;;0.057449684;2017
74;Crisal - Cristalaria Automática, S.A.;Marinha Grande;Leiria;38816;;Crisal - Cristalaria Automática, S.A. → Libbey Inc.;Libbey;Vidro;Instalações para o fabrico de vidro, incluindo fibra de vidro;0.057023652;2018
75;Unidade do Seixal - AMARSUL;Seixal;Setúbal;37750;1510 t CH4;AMARSUL - Valorização e Tratamento de Resíduos Sólidos, S.A.;AMARSUL;Resíduos;Tratamento e eliminação de resíduos;0.055457617;2017
76;Prado-Cartolinas da Lousã, S.A;Lousã;Coimbra;37125;;Prado-Cartolinas da Lousã, S.A;Prado-Cartolinas da Lousã;Papel;;0.054539445;2018
77;Cogeração Enerlousado – Continental Mabor;Vila Nova de Famalicão;Porto;36884;;Enerlousado, Recursos Energéticos Unipessoal, Lda;Enerlousado, Recursos Energéticos Unipessoal;Energia/Automóvel - Combustão de combustíveis nas instalações;central de  cogeração  destinada  à  produção de  energia  elétrica  e  de  energia  térmica  sob  a  forma  de  vapor. O vapor produzido na unidade é utilizado, na sua totalidade, no processo produtivo da Continental Mabor;0.054185397;2018
78;Unidade da Resialentejo (Aterro e Triagem);;Beja;36750;1470 t CH4;RESIALENTEJO - Tratamento e Valorização de Resíduos, E.I.M.;RESIALENTEJO;Resíduos;Tratamento e eliminação de resíduos;0.053988541;2017
79;RAR-Cogeração Unipessoal Lda;;Porto;36539;;RAR-Cogeração Unipessoal Lda;RAR;Energia - Combustão de combustíveis nas instalações;;0.053678566;2018
80;Saint-Gobain Weber Portugal Unidade Avelar;Avelar;Leiria;36505;;Saint-Gobain Weber Portugal, SA;Saint-Gobain;Cerâmica;;0.053628618;2018
81;Aeroporto Internacional da Madeira;Santa Cruz;Ilha da Madeira;35014.6;34731 t CO2, 3 t CH4, 0.7 t N2O;Público/Estado;;Transportes - aviação;;0.051439107;2017
82;Indorama Ventures PTA (antiga Artlant PTA - Purified Terephtalic Acid);Sines;Setúbal;34653;;Indorama Ventures Portugal PTA, Unipessoal Lda.;Indorama Ventures Portugal;Químicos - Produção de produtos químicos orgânicos a grande escala;;0.050907889;2018
83;Porto de Ponta Delgada;Ponta Delgada;Ilha de São Miguel, Açores;33095.2;32752 t CO2, 3 t CH4, 0.9 t N2O;Público/Estado;Público/Estado;Transportes - navegação;;0.048619362;2017
84;SCC-Sociedade Central de Cervejas e Bebidas, S.A.;Vialonga;Lisboa;31801;;SCC-Sociedade Central de Cervejas e Bebidas, S.A.;SCC-Sociedade Central de Cervejas e Bebidas;Comida;fabricação de refrigerantes e cerveja;0.046718084;2018
85;Aterro para resíduos industriais não perigosos de Alenquer;Alenquer;Lisboa;31750;1270 t CH4;CME Águas, SA;CME Águas;Resíduos;Tratamento e eliminação de resíduos;0.046643161;2017
86;Complexo Químico de Estarreja;Beduído;Aveiro;31638;;Bondalti Chemicals, SA;Bondalti;Químicos;;0.046478625;2018
87;Bamiso S.A;Estarreja;Aveiro;31608;;Bamiso - Produção E Serviços Energéticos, S.a.;Bamiso;Energia - Combustão de combustíveis nas instalações;Localiza-se no mesmo local que a Companhia Industrial de Resinas Sintéticas, CIRES, Lda;0.046434553;2018
88;Porto de Sines;Sines;Setúbal;31513.4;31200 t CO2, 3 t CH4, 0.8 t N2O;APS - Administração dos Portos de Sines e do Algarve, S.A.;APS - Administração dos Portos de Sines e do Algarve;Transportes - navegação;;0.046295578;2017
89;Central de Cogeração do Parque das Nações;Moscavide;Lisboa;30788;;Climaespaço-Soc. Prod Distr.Urbana Energia Térmica, S.A. → Grupo Engie;Grupo Engie;Energia - Combustão de combustíveis nas instalações;;0.04522991;2018
90;Unigeração Lda.;Pombal;Leiria;30430;;Unigeração Lda.;Unigeração;Energia;Localiza-se no interior do  Parque Industrial de Manuel da Mota;0.044703981;2018
91;Adelino Duarte da Mota, S.A;Meirinhas, Pombal;Leiria;30296;;Adelino Duarte da Mota, S.A → Grupo MCS;Grupo MCS;Construção e Energia - Combustão de combustíveis nas instalações;"
Prospecção, pesquisa, exploração e comercialização de depósitos minerais e massas minerais.Produção de electricidade por co-geração.
";0.044507125;2018
92;Gres Panaria - Unidade industrial/ Divisão Love Tiles;Ílhavo;Aveiro;30225;;Gres Panaria Portugal S.A.;Gres Panaria;Cerâmica;;0.044402821;2018
93;Central Térmica de Santa Bárbara;Horta;Ilha de Santa Bárbara, Açores;30055;;Electricidade dos Açores, S.A.;Electricidade dos Açores;Energia - Combustão de combustíveis nas instalações;;0.044153078;2018
94;Central de Tratamento e Valorização de Resíduos da Ilha Terceira;Angra do Herísmo;Ilha Terceira, Açores;29750;1190 t CH4;TERAMB - Empresa Municipal de Gestão e Valorização Ambiental da Ilha Terceira, EM;TERAMB;Resíduos;Instalações para a incineração de resíduos não perigosos;0.04370501;2017
95;Centro Integrado de Tratamento de Resíduos Industriais Não Perigosos de Setúbal;;Setúbal;29250;1170 t CH4;CITRI-Centro Integrado de Tratamento de Resíduos Industriais, SA;CITRI-Centro Integrado de Tratamento de Resíduos Industriais;Resíduos;Tratamento e eliminação de resíduos;0.042970472;2017
96;Microlime - Fábrica do Seixal;Aldeia de Paio Pires, Seixal;Setúbal;28716;;MICROLIME - Produtos de Cal e Derivados, S.A.;MICROLIME - Produtos de Cal e Derivados;Construção;produção de cimento clínquer;0.042185985;2018
97;Central Termoeléctrica do Pico;S. Roque do Pico;Ilha do Pico, Açores;28431;;Electricidade dos Açores, S.A.;Electricidade dos Açores;Energia - Centrais térmicas e outras instalações de combustão;;0.041767298;2018
98;Recer - Indústria de Revestimentos Cerâmicos, S.A.;Oliveira do Bairro;Aveiro;26637;;Recer - Indústria de Revestimentos Cerâmicos, S.A.;Recer - Indústria de Revestimentos Cerâmicos;Cerâmica;;0.039131776;2018
99;Argex - Argila Expandida, S.A.;Bustos;Aveiro;26442;;Argex - Argila Expandida, S.A.;Argex - Argila Expandida;Cerâmica;;0.038845306;2018
100;Unidade de Palmela - AMARSUL;Palmela;Setúbal;26250;1050 t CH4;AMARSUL - Valorização e Tratamento de Resíduos Sólidos, S.A.;AMARSUL - Valorização e Tratamento de Resíduos Sólidos;Resíduos;Tratamento e eliminação de resíduos;0.038563244;2017
101;Central Térmica do Porto Santo;Porto Santo;Ilha do Porto Santo, Madeira;25818;;Empresa de Electricidade da Madeira, S.A;Empresa de Electricidade da Madeira;Energia - Combustão de combustíveis nas instalações;;0.037928603;2018
102;Calcidrata;Alcanede;Santarém;25757;;Calcidrata;Calcidrata;Construção;produção de cimento clínquer;0.037838989;2018
103;UFAA - Unidade Fabril de Adubos de Alverca;Alverca do Ribatejo;Lisboa;24666;;ADP-Fertilizantes, S.A.;ADP-Fertilizantes;Químicos;Fabrico de produtos químicos básicos, fertilizantes e compostos nitrogenados, plásticos e borracha sintética em formas primárias;0.036236227;2018
104;Aterro Sanitário de Mato da Cruz;Loures;Lisboa;24075;963 t CH4;Valorsul - Valorização e Tratamento de Resíduos Sólidos das Regiões de Lisboa e do Oeste, S.A.;Valorsul - Valorização e Tratamento de Resíduos Sólidos das Regiões de Lisboa e do Oeste;Resíduos;Tratamento e eliminação de resíduos;0.035368004;2017
105;Preceram - unidades industriais de produção de tijolo cerâmico;Pombal;Leiria;23498;14169 + 9329;Preceram - Indústrias de Construção, SA;Preceram - Indústrias de Construção;Cerâmica;Têm 2 entradas na ETS, com valores diferentes mas ambas localizadas em Pombal. Contudo a empresa tem 2 fábricas, uma em pombal e outra em Águeda;0.034520347;2018
106;UFAL - Unidade Fabril do Lavradio;Barreiro;Setúbal;22857;;ADP - Fertilizantes, S.A.;ADP - Fertilizantes;Químicos;Fabrico de produtos químicos básicos, fertilizantes e compostos nitrogenados, plásticos e borracha sintética em formas primárias;0.033578669;2018
107;Sidul Açucares, Unipessoal, Lda;Santa Iria de Azóia;Lisboa;22779;;Sidul Açucares, Unipessoal, Lda;Sidul Açucares;Comida;Combustão de combustíveis nas instalações;0.033464081;2018
108;Fábrica de Benavente - IDAL;Benavente;Santarém;22455;;SUGAL - Alimentos, S.A. Indústrias de Alimentação IDAL, Lda;SUGAL - Alimentos;Comida;Combustão de combustíveis nas instalações;0.0329881;2019
109;Centro de Tratamento de Resíduos do Oeste - CTRO;Cadaval e Alenquer;Lisboa;22425;897 t CH4;Valorsul - Valorização e Tratamento de Resíduos Sólidos das Regiões de Lisboa e do Oeste, S.A.;Valorsul - Valorização e Tratamento de Resíduos Sólidos das Regiões de Lisboa e do Oeste;Resíduos;Tratamento e eliminação de resíduos;0.032944028;2017
110;UPLA - Unidade de Produção de Lamego - Resinorte (Aterro e Triagem);Lamego;Viseu;22375;895 t CH4;RESINORTE - Valorização e Tratamento de Resíduos Sólidos, S.A.;RESINORTE;Resíduos;Tratamento e eliminação de resíduos;0.032870574;2017
111;Navigator - polo Vila velha de Ródão;Vila Velha de Ródão;Castelo Branco;20879;;Navigator Tissue Ródão, S.A.;The Navigator Company;Papel;;0.030672837;2018
112;Unidade Avis - Valnor (Aterro, TMB, Triagem e CDR);Alcórrego;Portalegre;20550;822 t CH4;VALNOR, Valorização e Tratamento de Resíduos Sólidos, S.A.;VALNOR, Valorização e Tratamento de Resíduos Sólidos;Resíduos;Tratamento e eliminação de resíduos;0.030189511;2017
113;Unidade da Valorminho (Aterro e Triagem);Valença;Viana do Castelo;20425;817 t CH4;valorminho-valorização e tratamento de resíduos sólidos S.A;valorminho-valorização e tratamento de resíduos sólidos;Resíduos;Tratamento e eliminação de resíduos;0.030005876;2017
114;Aeroporto Internacional das Lajes (Praia da Vitória);Lajes, Praia da Vitória;Ilha Terceira, Açores;20226.7;20070 t CO2, 1.5 t CH4, 0.4 t N2O;Público/Estado;Público/Estado;Transportes - aviação;;0.029714559;2017
115;Lusosider - Aços Planos, S.A.;Aldeia de Paio Pires, Seixal;Setúbal;20176;;Lusosider - Aços Planos, S.A.;Lusosider - Aços Planos;Ferro e Aço;"Combustão de combustíveis nas instalações; na instalação produz-se chapa galvanizada, chapa decapada e oleada";0.029640076;2018
116;Roca SA;Colmeias;Leiria;20123;;ROCA, S.A.;ROCA;Cerâmica;;0.029562215;2018
117;Aterro Sanitário - Monte de São Martinho;;Castelo Branco;19700;788t CH4;VALNOR, Valorização e Tratamento de Resíduos Sólidos, S.A.;VALNOR, Valorização e Tratamento de Resíduos Sólidos;Resíduos;Tratamento e eliminação de resíduos;0.028940796;2017
118;"Gres Panaria - Unidade industrial/ Divisão ""Margres""";Ílhavo;Aveiro;19374;;Gres Panaria Portugal S.A.;Gres Panaria;Cerâmica;;0.028461877;2018
119;Iberol-Sociedade Ibérica de Biocombustíveis e Olea;Alhandra, Vila Franca de Xira;Lisboa;18870;;Iberol - Sociedade Ibérica de Biocombustíveis e Olea;Iberol;Comida;"Extração de óleo a partir de semente de soja e produção da respetiva farinha; Combustão de combustíveis nas instalações";0.027721463;2018
120;CS - Coelho da Silva, S. A.;Albergaria, Juncal;Leiria;18821;;CS - Coelho da Silva, S. A.;CS - Coelho da Silva;Cerâmica;;0.027649478;2018
121;Volkswagen Autoeuropa, Lda;Quinta do Anjo, Palmela;Setúbal;18076;;Volkswagen Autoeuropa,Lda;Volkswagen Autoeuropa;Automóveis;Combustão de combustíveis nas instalações;0.026555017;2018
122;Sovena Oilseeds Portugal, S.A.;Almada;Setúbal;18071;;Sovena Oilseeds Portugal, S.A.;Sovena Oilseeds Portugal;Comida;Combustão de combustíveis nas instalações;0.026547672;2018
123;Porto de Setúbal;;Setúbal;17768;17569 t CO2, 2 t CH4, 0.5 t N2O;Público/Estado;Público/Estado;Transportes - navegação;;0.026102542;2017
124;Termolan, S.A. - Unidade 2;Vila das Aves, Santo Tirso;Porto;17598;;Termolan - Isolamentos Termo-Acústicos, S.A.;Termolan - Isolamentos Termo-Acústicos;Construção;"Combustão de combustíveis nas instalações; fabricação de lã de rocha para isolamento térmico, acústico e de proteção ao fogo.";0.025852799;2018
125;Centro Integrado de Tratamento e Eliminação de Resíduos da Planalto Beirão (Aterro, Triagem e TMB);Tondela;Viseu;17050;345 + 337 t CH4;Associação de Municipios da Região do Planalto Beirão;Associação de Municipios da Região do Planalto Beirão;Resíduos;"valor acidental de 337t em 2017 mas valores de anos anteriores muito mais altos por norma; Tratamento e eliminação de resíduos";0.025047745;2017
126;Gyptec Ibérica - Gessos Técnicos, S.A.;Figueira da Foz;Coimbra;16543;;Gyptec Ibérica - Gessos Técnicos, S.A. -> Grupo Preceram;Grupo Preceram;Construção;Fabricação de produtos de gesso para a construção;0.024302923;2018
127;Porto do Caniçal;Caniçal, Machico;Ilha da Madeira;16519.2;16316 t CO2, 1 t CH4, 0.4 t N2O;Público/Estado;Público/Estado;Transportes - navegação;;0.024267959;2017
128;Aterro de Resíduos Não Perigosos de Beja;;Beja;16500;660 t CH4;" Lena Ambiente - Gestão de Resíduos, SA";Lena Ambiente - Gestão de Resíduos;Resíduos;Tratamento e eliminação de resíduos;0.024239753;2017
129;Sanitana - Fabrica de Sanitarios de Anadia;Anadia;Aveiro;16499;;Sanitana - Fabrica de Sanitarios de Anadia, SA;Sanitana - Fabrica de Sanitarios de Anadia;Cerâmica;;0.024238284;2018
130;Unicer- Central Prod Comb Calor Elect,Leça do Balio;S. Mamede Infesta. Matosinhos;Porto;16228;;Unicer, Energia e Ambiente, S.A.;Unicer;Energia - Combustão de combustíveis nas instalações;;0.023840165;2018
131;GRESART - Cerâmica Industrial, SA;Oliveira do Bairro;Aveiro;16200;;GRESART - Cerâmica Industrial, S.A.;GRESART - Cerâmica Industrial;Cerâmica;;0.02379903;2018
132;Luso Finsa - Indústria e Comercio de Madeiras S.A;Nelas;Viseu;16174;;Luso Finsa - Indústria e Comercio de Madeiras S.A.;Luso Finsa - Indústria e Comercio de Madeiras;Madeira;Combustão de combustíveis nas instalações;0.023760834;2018
133;CINCA - Unidade de Produção de Fiães;Fiães, Santa Maria da Feira;Aveiro;16072;;CINCA - Companhia Industrial de Cerâmica, S.A.;CINCA - Companhia Industrial de Cerâmica;Cerâmica;;0.023610989;2018
134;Copam, S.A.;São João da Talha, Loures;Lisboa;15704;;Copam - Companhia Portuguesa de Amidos, S.A.;Copam - Companhia Portuguesa de Amidos;Comida;Combustão de combustíveis nas instalações;0.023070369;2018
135;Unidade Industrial do Outeiro;Outeiro da Cabeça, Torres Vedras;Lisboa;15368;;CT - Cobert Telhas, S.A.;CT - Cobert Telhas;Cerâmica;;0.022576759;2018
136;Pronicol - Instalação Industrial Quinta de S. Luís;Angra do Heroísmo;Ilha Terceira, Açores;15234;;Pronicol, Produtos Lácteos, S. A.;Pronicol, Produtos Lácteos;Comida;Combustão de combustíveis nas instalações;0.022379903;2018
137;" UPRA – Aterro Sanitário de Guimarães - Resinorte (Aterro)";Guimarães;Braga;15100;604 t CH4;RESINORTE - Valorização e Tratamento de Resíduos Sólidos, S.A.;RESINORTE;Resíduos;Tratamento e eliminação de resíduos;0.022183047;2017
138;Revigrés (Porcelanato);Águeda;Aveiro;14755;;Revigrés - Indústria de revestimentos de Grés, Lda;Revigrés;Cerâmica;;0.021676216;2018
139;Termolan, S.A. - Unidade 1;Vila das Aves, Santo Tirso;Porto;14665;;Termolan - Isolamentos Termo-Acústicos, S.A.;Termolan - Isolamentos Termo-Acústicos;Construção;"Combustão de combustíveis nas instalações; fabricação de lã de rocha para isolamento térmico, acústico e de proteção ao fogo.";0.021543999;2018
140;Porto do Funchal;Funchal;Ilha da Madeira;14484.2;14340 t CO2, 1 t CH4, 0.4 t N2O;Público/Estado;Público/Estado;Transportes - navegação;;0.02127839;2017
141;Italagro-Ind.Transf. de Produtos Alimentares, SA;Castanheira do Ribatejo;Lisboa;14177;;Italagro-Ind.Transf.Prod.Alimentares, SA;Italagro;Comida;Combustão de combustíveis nas instalações;0.02082709;2018
142;Preceram - Norte, Cerâmicas, SA;Aguada de Baixo, Águeda;Aveiro;13521;;Preceram - Norte, Cerâmicas, SA;Grupo Preceram;Cerâmica;;0.019863376;2018
143;Aleluia Cerâmicas SA - Unidade Fabril de Ílhavo;Ílhavo;Aveiro;13359;;Aleluia Cerâmicas SA;Aleluia Cerâmicas;Cerâmica;;0.019625386;2018
144;UMBELINO MONTEIRO,SA;Meirinhas, Pombal;Leiria;12436;;UMBELINO MONTEIRO,SA;UMBELINO MONTEIRO;Cerâmica;;0.018269429;2018
145;Dominó - Industrias Cerâmicas S.A.;Sebal, Condeixa-a-Nova;Coimbra;12425;;Dominó, Industrias Cerâmicas S.A;Dominó, Industrias Cerâmicas;Cerâmica;;0.018253269;2018
146;Unidade fabril Grespor;Almas Domingas, Anadia;Aveiro;12341;;Pavigrés Cerâmicas, S.A.;Pavigrés Cerâmicas;Cerâmica;;0.018129866;2018
147;SECIL Martingança, S.A.;Maceira;Leiria;12146;;SECIL Martingança, S.A.;SECIL;Construção;produção de cimento clínquer;0.017843397;2018
148;Unidade Fabril Cerev;Almas Domingas, Mealhada;Aveiro;12144;;Pavigrés Cerâmicas, S.A.;Pavigrés Cerâmicas;Cerâmica;;0.017840458;2018
149;Cerâmica Torreense - 5 units;Outeiro da Cabeça, Torres Vedras;Lisboa;12124;;Cerâmica Torreense;Cerâmica Torreense;Cerâmica;18 (U1) + 10147 (U3) + 1959 (U4 e U5);0.017811077;2018
150;Unidade de Sermonde - Aterro Sanitário de Vila Nova de Gaia e Santa Maria da Feira;Vila Nova de Gaia;Porto;11875;475 t CH4;Suldouro - Valorização e Tratamento de Resíduos Sólidos Urbanos, S.A.;Suldouro - Valorização e Tratamento de Resíduos Sólidos Urbanos;Resíduos;Tratamento e eliminação de resíduos;0.017445277;2017
151;Lactogal-Unidade Fabril de Vila do Conde;Vila do Conde;Porto;11744;;Lactogal - Produtos Alimentares, S.A.;Lactogal;Comida;Combustão de combustíveis nas instalações;0.017252828;2018
152;Fábrica de Azambuja;Azambuja;Lisboa;11717;;SUGAL - Alimentos, S.A.;SUGAL - Alimentos;Comida;"Combustão de combustíveis nas instalações; os valores de 2018 são substancialmente inferiores aos de 2019, 2017 ou 2016";0.017213163;2019
153;Cemopol Celuloses Moldadas Portuguesas, Lda;Pombal;Leiria;11715;;Cemopol Celuloses Moldadas Portuguesas, Lda;Cemopol Celuloses Moldadas Portuguesas;Papel;localizado no parque Industrial Manuel da Mota;0.017210225;2018
154;Riopele Unidade;Pousada de Saramagos;Braga;11643;;Riopele-Têxteis, S.A.;Riopele-Têxteis;Textil;Combustão de combustíveis nas instalações;0.017104451;2018
155;MGC - Acabamentos Têxteis, S.A.;Ronfe;Braga;11590;;MGC - Acabamentos Têxteis, S.A. -> TMG Group;TMG Group;Textil;;0.01702659;2018
156;PAPER PRIME;Vila Velha de Rodão;Castelo Branco;11448;;PAPER PRIME, S.A.;PAPER PRIME;Papel;;0.016817981;2018
157;Cerâmica das Quintãs, Lda.;Oliveirinha;Aveiro;11347;;Cerâmica das Quintãs, Lda.;Cerâmica das Quintãs;Cerâmica;;0.016669605;2018
158;Sistema de Resíduos Sólidos da AMCAL;Cuba;Beja;11250;450 t CH4;AMCAL-ASSOCIAÇÃO DE MUNICÍPIOS DO ALENTEJO CENTRAL;AMCAL-ASSOCIAÇÃO DE MUNICÍPIOS DO ALENTEJO CENTRAL;Resíduos;Tratamento e eliminação de resíduos;0.016527104;2017
159;Soladrilho, SA;Entroncamento;Santarém;10982;;Soladrilho, SA;Soladrilho;Cerâmica;;0.016133392;2018
160;Solcer - Empresa CerÂmica, S.A.;Oliveira do Bairro;Aveiro;10924;;Solcer - Empresa Cerâmica, S.A.;Solcer - Empresa Cerâmica;Cerâmica;;0.016048186;2018
161;Vale de Tábuas - Tinturaria e Acabamentos de Tecidos;Santo Tirso;Porto;10747;;Tinturaria e Acabamentos de Tecidos Vale de Tábuas Lda;Tinturaria e Acabamentos de Tecidos Vale de Tábuas;Textil;Combustão de combustíveis nas instalações;0.015788159;2017
162;Fortissue - Produção de Papel;Alvarães;Viana do Castelo;10572;;FORTISSUE - Produção de Papel, S.A.;FORTISSUE;Papel;;0.015531071;2018
163;Papeleira Coreboard, S.A.;S.Paio Oleiros, Santa Maria da Feira;Aveiro;10432;;Papeleira Portuguesa, S.A.;Papeleira Portuguesa;Papel;;0.0153254;2018
164;Sanindusa - Indústria de Sanitários, S.A. (C1/C2);Mamodeiro;Aveiro;10344;;Sanindusa - Indústria de Sanitários, S.A.;Sanindusa - Indústria de Sanitários;Cerâmica;;0.015196122;2018
165;Herdade da Pernada - F.I.T.;Palmela;Setúbal;9855;;F.I.T. - Fomento da Indústria do Tomate, S.A.;F.I.T. - Fomento da Indústria do Tomate;Comida;Combustão de combustíveis nas instalações;0.014477743;2018
166;Aeroporto da Horta;Horta;Ilha do Faial, Açores;9400.6;9336 t CO2,0.7 t CH4, 0.2 t N2O;Vinci;Vinci;Transportes - aviação;;0.013810195;2017
167;Campil - Agro Industrial do Campo do Tejo, Lda.;Vale da Pedra, Cartaxo;Santarém;9372;;Campil - Agro Industrial do Campo do Tejo, Lda.;Campil - Agro Industrial do Campo do Tejo;Comida;Combustão de combustíveis nas instalações;0.01376818;2018
168;Aterro Intermunicipal da Ilha do Pico;Madalena, São Caetano;Ilha do Pico, Açores;9100;364 t CH4;Associação de Municípios da Ilha do Pico;Associação de Municípios da Ilha do Pico;Resíduos;Tratamento e eliminação de resíduos;0.013368591;2017
169;CINCA - Unidade de Produção da Mealhada;Vacariça, Mealhada;Aveiro;8961;;CINCA - Companhia Industrial de Cerâmica, S.A.;CINCA - Companhia Industrial de Cerâmica;Cerâmica;;0.01316439;2018
170;Porto de Aveiro;Gafanha da Nazaré;Aveiro;8904.6;8825 t CO2, 0.8 t CH4, 0.2 t N2O;Público/Estado;Público/Estado;Transportes - navegação;;0.013081534;2017
171;Aterro de Resíduos Não Perigosos de Castelo Branco;Castelo Branco;Castelo Branco;8875;355 t CH4;Lena Ambiente II;Lena Ambiente;Resíduos;Tratamento e eliminação de resíduos;0.013038049;2017
172;Goldenpig - Produção Suinícola, Lda;" Montemor-o-novo";Évora;8575;343 t CH4;Goldenpig - Produção Suinícola, Lda;Goldenpig - Produção Suinícola;Carnes;Com 2 000 lugares para suínos de produção (mais de 30kg);0.012597326;2017
173;Herdade da Daroeira;Santiago do Cacém;Beja;8523;13,5 t N2O + 180 t CH4;Sociedade Agrícola da Quinta da Freiria, S.A.;Sociedade Agrícola da Quinta da Freiria;Carnes;Instalações para a criação intensiva de aves de capoeira com 40.000 lugares para aves;0.012520934;2017
174;Aterro de resíduos não perigosos de Leiria;Leiria;Leiria;8200;328 t CH4;RESILEI - Tratamento de Resíduos Industriais, S.A.;RESILEI - Tratamento de Resíduos Industriais;Resíduos;Tratamento e eliminação de resíduos;0.012046423;2017
