rank;unidade;local;distrito;emissões (t CO2eq);emissões (t GAS);proprietário-operador;empresa;setor;comentários;percentagem emissões territoriais;ano
226;Aviário do Resouro - Produção de Ovos Lda;Ourém;Santarém;2600;104 t CH4;Aviário do Resouro - Produção de Ovos, Lda.;Aviário do Resouro - Produção de Ovos;Carnes;Instalações para a criação intensiva de aves de capoeira com 40.000 lugares para aves;0.003819597;2017
227;Unidade Industrial de Mortágua;Mortágua;Viseu;2585;;Cerâmica Vale da Gândara, S.A;Cerâmica Vale da Gândara;Cerâmica;;0.003797561;2018
228;Aeródromo de São Jorge;" Fajã da Queimada, Santo Amaro";Ilha de São Jorge, Açores;2576.61;2549 t CO2, 0.27 t CH4, 0.07 t N2O;SATA Air Açores (Público/Estado);SATA Air Açores;Transportes - aviação;;0.003785236;2017
229;Casalito - Amor;Amor;Leiria;2500;100 t CH4;Manuel Querido - Produção e Comércio de Suinos, Lda;Manuel Querido - Produção e Comércio de Suinos;Carnes;" Instalações para a criação intensiva de porcos com 2.000 lugares para porcos de produção (mais de 30 kg)";0.00367269;2017
230;Oliveira Santos & Irmão, Lda;Paços de Brandão, Santa Maria da Feira;Aveiro;2432;;Oliveira Santos & Irmão, Lda;Oliveira Santos & Irmão;Papel;Produção de pasta de papel;0.003572793;2018
231;Grestejo - Industrias Cerâmicas S.A;Torres Novas;Santarém;2120;;Grestejo - Industrias Cerâmicas S.A;Grestejo - Industrias Cerâmicas;Cerâmica;;0.003114441;2018
232;Porto de Viana do Castelo;;Viana do Castelo;1988.9;1969 t CO2, 0.2 t CH4, 0.05 t N2O;Público/Estado;Público/Estado;Transportes - navegação;;0.002921845;2017
233;Fábrica de Açúcar;Ponta Delgada;Ilha de São Miguel, Açores;1619;;SINAGA Sociedade de Indústrias Agrícolas Açoreanas, S.A.;SINAGA Sociedade de Indústrias Agrícolas Açoreanas;Comida;Combustão de combustíveis nas instalações;0.002378434;2017
234;Fábrica de Papel de Ponte Redonda;Espinho;Aveiro;1592;;Fábrica de Papel de Ponte Redonda, S.A.;Fábrica de Papel de Ponte Redonda;Papel;Produção de papel ou cartão;0.002338769;2018
235;Nestlé Portugal, S.A - Fábrica de Avanca;Avanca, Estarreja;Aveiro;1506;;Nestlé Portugal, S.A.;Nestlé;Comida;Combustão de combustíveis nas instalações;0.002212428;2018
236;Aeródromo do Corvo;Vila do Corvo;Ilha do Corvo, Açores;1394.67;1379 t CO2, 0.15 t CH4, 0.04 t N2O;SATA Air Açores (Público/Estado);SATA Air Açores;Transportes - aviação;;0.002048876;2017
237;Prélis Cerâmica, Lda;Alcogulhe de Cima;Leiria;1304;;Prélis Cerâmica, Lda;Prélis Cerâmica;Cerâmica;;0.001915675;2018
238;dst-Central de betuminoso;Palmeira;Braga;1010;;dst-Domingos da Silva Teixeira, SA;dst-Domingos da Silva Teixeira;Construção;Combustão de combustíveis nas instalações;0.001483767;2018
239;Fábrica de Serração e Cerâmica Amaro de Macedo, S.A;Cervães, Vila Verde;Braga;989;;F. S. e Cerâmica Amaro de Macedo, S.A;F. S. e Cerâmica Amaro de Macedo;Cerâmica;;0.001452916;2018
240;Cerâmica de Pegões;Santo Isidro de Pegões, Montijo;Setúbal;825;;Cerâmica de Pegões - J. G. Silva, S.A.;Cerâmica de Pegões;Cerâmica;;0.001211988;2018
241;Cetipal - Cerâmica de Tijolos e Pavimentos, S.A.;Aguada de Baixo, Águeda;Aveiro;785;;Cetipal - Cerâmica de Tijolos e Pavimentos, S.A;Cetipal - Cerâmica de Tijolos e Pavimentos;Cerâmica;;0.001153225;2018
242;Cerâmica F. Santiago, Lda.;Porto de Mós;Leiria;613;;Cerâmica F. Santiago, Lda.;Cerâmica F. Santiago;Cerâmica;;0.000900544;2018
243;Porto de Faro;;Faro;610.46;603 t CO2, 0.06 t CH4, 0.02 t N2O;APS - Administração dos Portos de Sines e do Algarve, S.A.;APS - Administração dos Portos de Sines e do Algarve;Transportes - navegação;;0.000896812;2017
244;SPE-Sociedade de Produção de Electricidade e Calor;Vila Nova Famalicão;Braga;495;;SPE-Sociedade de Produção de Electricidade e Calor, S.A.;SPE-Sociedade de Produção de Electricidade e Calor;Energia - Combustão de combustíveis nas instalações;;0.000727193;2018
245;Tijolágueda - Cerâmica de Águeda - Lda;Águeda;Aveiro;367;;Tijolágueda - Cerâmica de Águeda - Lda;Tijolágueda - Cerâmica de Águeda;Cerâmica;;0.000539151;2018
246;Cerâmica Flaviense, Lda;Chaves;Vila Real;296;;Cerâmica Flaviense, Lda;Cerâmica Flaviense;Cerâmica;;0.000434846;2016
247;Ucherâmica - Cerâmica da Ucha;Ucha;Braga;212;;Ucherâmica - Cerâmica da Ucha, Lda.;Ucherâmica - Cerâmica da Ucha;Cerâmica;;0.000311444;2018
248;M. A. Lopes D'Avó, Lda;Amiais de Cima;Santarém;121;;M. A. Lopes D'Avó, Lda;M. A. Lopes D'Avó;Cerâmica;;0.000177758;2018
