name;short_name;country;units;capacity;coordinates;latitude;longitude;coordinates_dms;status;notes
Dukovany Nuclear Power Station;Dukovany;Czech Republic;4;2040;16.1488888888889,49.085,0;49.085;16.14888889;49°05′06″N 16°08′56″E;in service;
Dungeness Nuclear Power Station;Dungeness;United Kingdom;2;1040;0.963888888888889,50.9138888888889,0;50.91388889;0.963888889;50°54′50″N 00°57′50″E;in service;2 reactors with 450 MW permanently shut down
Edwin Hatch Nuclear Power Station;Edwin I. Hatch;United States;2;1759;-82.3438888888889,31.9341666666667,0;31.93416667;-82.34388889;31°56′03″N 82°20′38″W;in service;
Enrico Fermi Nuclear Power Station;Fermi;United States;1;1122;-83.2575,41.9627777777778,0;41.96277778;-83.2575;41°57′46″N 83°15′27″W;in service;61 MW reactor permanently shut down
Emsland Nuclear Power Station;Emsland;Germany;1;1329;7.31777777777778,52.4741666666667,0;52.47416667;7.317777778;52°28′27″N 07°19′04″E;in service;
Fangchenggang Nuclear Power Plant;Fangchenggang;China;2;2000;108.563055555556,21.6666666666667,0;21.66666667;108.5630556;21°40′00″N 108°33′47″E;in service;2 reactors with total 2000 MW under construction
Fangjiashan Nuclear Power Plant;Fangjiashan;China;2;2000;120.941666666667,30.4413888888889,0;30.44138889;120.9416667;30°26′29″N 120°56′30″E;in service;
Fessenheim Nuclear Power Plant;Fessenheim;France;2;1760;7.56305555555556,47.9030555555556,0;47.90305556;7.563055556;47°54′11″N 07°33′47″E;in service;
Flamanville Nuclear Power Station;Flamanville;France;2;2660;-1.88166666666667,49.5363888888889,0;49.53638889;-1.881666667;49°32′11″N 01°52′54″W;in service;1600 MW reactor under construction
Forsmark Nuclear Power Station;Forsmark;Sweden;3;3138;18.1666666666667,60.4033333333333,0;60.40333333;18.16666667;60°24′12″N 18°10′00″E;in service;
Fukushima Daini Nuclear Power Plant;Fukushima Daini;Japan;4;4400;141.021111111111,37.3194444444444,0;37.31944444;141.0211111;37°19′10″N 141°01′16″E;in service;
Fuqing Nuclear Power Plant;Fuqing;China;4;4000;119.446111111111,25.4441666666667,0;25.44416667;119.4461111;25°26′39″N 119°26′46″E;in service;Another 2 reactors with total 2,000 MW under construction
Genkai Nuclear Power Station;Genkai;Japan;2;2254;129.837222222222,33.5155555555556,0;33.51555556;129.8372222;33°30′56″N 129°50′14″E;in service;2 reactors with 1,058 MW permanently shut down
Golfech Nuclear Power Station;Golfech;France;2;2620;0.845277777777778,44.1066666666667,0;44.10666667;0.845277778;44°06′24″N 00°50′43″E;in service;
Grand Gulf Nuclear Generating Station;Grand Gulf;United States;1;1419;-91.0483333333333,32.0066666666667,0;32.00666667;-91.04833333;32°0′24″N 91°2′54″W;in service;
Gravelines Nuclear Power Station;Gravelines;France;6;5460;2.13611111111111,51.0152777777778,0;51.01527778;2.136111111;51°00′55″N 02°08′10″E;in service;
Grohnde Nuclear Power Station;Grohnde;Germany;1;1360;9.41333333333333,52.0352777777778,0;52.03527778;9.413333333;52°02′07″N 09°24′48″E;in service;
Gundremmingen Nuclear Power Station;Gundremmingen;Germany;1;1288;10.4022222222222,48.5147222222222,0;48.51472222;10.40222222;48°30′53″N 10°24′08″E;in service;2 reactors with 1,521 MW permanently shut down
Haiyang Nuclear Power Plant;Haiyang;China;1;1000;121.381666666667,36.7091666666667,0;36.70916667;121.3816667;36°42′33″N 121°22′54″E;in service;1 reactors with 1,000 MW under construction
Hamaoka Nuclear Power Station;Hamaoka;Japan;3;3473;138.1425,34.6236111111111,0;34.62361111;138.1425;34°37′25″N 138°08′33″E;in service;2 reactors with 1,321 MW permanently shut down
