name;short_name;country;units;capacity;coordinates;latitude;longitude;coordinates_dms;status;notes
Mihama Nuclear Power Station;Mihama;Japan;;1570;135.9633333333333, 35.7025, 0;35.7025;135.9633333;35°42′09″N 135°57′48″E;shut down;1 reactor with 780 MW is operational
Mülheim-Kärlich Nuclear Power Station;Mülheim-Kärlich;Germany;;1219;7.49, 50.408055555555556, 0;50.40805556;7.49;50°24′29″N 07°29′24″E;shut down;
Three Mile Island Nuclear Power Station;Three Mile Island;United States;;1685;-76.72472222222223, 40.153888888888886, 0;40.15388889;-76.72472222;40°09′14″N 76°43′29″W;shut down;
San Onofre Nuclear Power Station;San Onofre;United States;;2586;-117.55499999999999, 33.36888888888889, 0;33.36888889;-117.555;33°22′08″N 117°33′18″W;shut down;
Superphénix Nuclear Power Station;Superphénix;France;;1200;5.472222222222222, 45.75833333333333, 0;45.75833333;5.472222222;45°45′30″N 05°28′20″E;shut down;
Trojan Nuclear Power Station;Trojan;United States;;1095;-122.885, 46.038333333333334, 0;46.03833333;-122.885;46°02′18″N 122°53′06″W;shut down;
Unterweser Nuclear Power Station;Unterweser;Germany;;1345;8.480277777777777, 53.42777777777778, 0;53.42777778;8.480277778;53°25′40″N 08°28′49″E;shut down;
Zion Nuclear Power Station;Zion;United States;;2080;-87.80305555555556, 42.44638888888888, 0;42.44638889;-87.80305556;42°26′47″N 87°48′11″W;shut down;
Akkuyu Nuclear Power Station;Akkuyu;Turkey;1;1014;33.54111111111111, 36.144444444444446, 0;36.14444444;33.54111111;36°08′40″N 33°32′28″E;under construction;
Barakah Nuclear Power Station;Barakah;UAE;4;5380;52.28361111111111, 23.985, 0;23.985;52.28361111;23°59′6″N 52°17′1″E;under construction;
Belarusian Nuclear Power Station;Belarusian;Belarus;2;2218;26.12, 54.761944444444445, 0;54.76194444;26.12;54°45′43″N 26°7′12″E;under construction;
Hinkley Point C Nuclear Power Station;Hinkley Point C;United Kingdom;2;3300;-3.1438888888888887, 51.20611111111111, 0;51.20611111;-3.143888889;51°12′22″N 3°8′38″W;under construction;
Kakrapar Nuclear Power Station;Kakrapar;India;4;1664;73.35, 21.238611111111112, 0;21.23861111;73.35;21°14′19″N 73°21′00″E;under construction;Two 202 MW reactors are operational
Karachi Nuclear Power Station;Karachi;Pakistan;3;2118;66.78825, 24.847166666666666, 0;24.84716667;66.78825;24°50′49.8″N 66°47′17.7″E;under construction;One 90 MW reactor is operational
Mochovce Nuclear Power Station;Mochovce;Slovakia;4;1752;18.456944444444442, 48.263888888888886, 0;48.26388889;18.45694444;48°15′50″N 18°27′25″E;under construction;Two 872 MW reactors operational
Ōma Nuclear Power Station;Ōma;Japan;1;1325;140.9102777777778, 41.50972222222222, 0;41.50972222;140.9102778;41°30′35″N 140°54′37″E;under construction;
Rooppur Nuclear Power Station;Rooppur;Bangladesh;2;2160;89.04722222222222, 24.066666666666666, 0;24.06666667;89.04722222;24°4′0″N 89°2′50″E;under construction;
Shimane Nuclear Power Station;Shimane;Japan;1;1373;132.99916666666667, 35.538333333333334, 0;35.53833333;132.9991667;35°32′18″N 132°59′57″E;under construction;1 reactor with 789 MW operational, 1 reactor with 439 MW permanently shut down
