Name;Coordinates;Latitude;Longitude
Ikata Nuclear Power Station;132.311388888889,33.4908333333333,0;33.4908333333333;132.311388888889
Indian Point Energy Center;-73.9522222222222,41.2697222222222,0;41.2697222222222;-73.9522222222222
Isar Nuclear Power Station;12.2930555555556,48.6055555555556,0;48.6055555555556;12.2930555555556
Joseph Farley Nuclear Power Station;-85.1116666666667,31.2230555555556,0;31.2230555555556;-85.1116666666667
Kalinin Nuclear Power Station;35.0602777777778,57.9055555555556,0;57.9055555555556;35.0602777777778
Kashiwazaki-Kariwa Nuclear Power Plant;138.595277777778,37.4291666666667,0;37.4291666666667;138.595277777778
Khmelnitskiy Nuclear Power Plant;26.6497222222222,50.3013888888889,0;50.3013888888889;26.6497222222222
Koeberg Nuclear Power Station;18.4319444444444,-33.6763888888889,0;-33.6763888888889;18.4319444444444
Kola Nuclear Power Station;32.4666666666667,67.4666666666667,0;67.4666666666667;32.4666666666667
Kori Nuclear Power Station;129.3,35.3169444444444,0;35.3169444444444;129.3
Kozloduy Nuclear Power Station;23.7705555555556,43.7461111111111,0;43.7461111111111;23.7705555555556
Kuosheng Nuclear Power Plant;121.662777777778,25.2030555555556,0;25.2030555555556;121.662777777778
Koodankulam Nuclear Power Plant;77.7125,8.16833333333333,0;8.16833333333333;77.7125
Kursk Nuclear Power Station;35.6055555555556,51.675,0;51.675;35.6055555555556
Laguna Verde Nuclear Power Station;-96.4063888888889,19.7208333333333,0;19.7208333333333;-96.4063888888889
LaSalle County Nuclear Generating Station;-88.6691666666667,41.2455555555556,0;41.2455555555556;-88.6691666666667
Leibstadt Nuclear Power Station;8.18472222222222,47.6030555555556,0;47.6030555555556;8.18472222222222
Lemoniz Nuclear Power Station;-2.8725,43.4333333333333,0;43.4333333333333;-2.8725
Leningrad Nuclear Power Station;29.0436111111111,59.8472222222222,0;59.8472222222222;29.0436111111111
Leningrad Nuclear Power Plant II;29.0572222222222,59.8305555555556,0;59.8305555555556;29.0572222222222
Limerick Nuclear Power Plant;-75.5872222222222,40.2266666666667,0;40.2266666666667;-75.5872222222222
Ling Ao Nuclear Power Plant;114.551388888889,22.6047222222222,0;22.6047222222222;114.551388888889
Loviisa Nuclear Power Station;26.3472222222222,60.3722222222222,0;60.3722222222222;26.3472222222222
McGuire Nuclear Station;-80.9483333333333,35.4325,0;35.4325;-80.9483333333333
Maanshan Nuclear Power Plant;120.751666666667,21.9580555555556,0;21.9580555555556;120.751666666667
Millstone Nuclear Power Station;-72.1686111111111,41.3119444444444,0;41.3119444444444;-72.1686111111111
Neckarwestheim Nuclear Power Station;9.175,49.0416666666667,0;49.0416666666667;9.175
Nine Mile Point Nuclear Power Station;-76.4069444444444,43.5208333333333,0;43.5208333333333;-76.4069444444444
Ningde Nuclear Power Plant;120.288333333333,27.0461111111111,0;27.0461111111111;120.288333333333
Nogent Nuclear Power Station;3.51777777777778,48.5152777777778,0;48.5152777777778;3.51777777777778
North Anna Nuclear Power Station;-77.7894444444444,38.0605555555556,0;38.0605555555556;-77.7894444444444
Novovoronezhskaya Nuclear Power Station;39.2,51.275,0;51.275;39.2
Oconee Nuclear Power Station;-82.8980555555556,34.7938888888889,0;34.7938888888889;-82.8980555555556
Ōi Nuclear Power Station;135.651944444444,35.5405555555556,0;35.5405555555556;135.651944444444
Olkiluoto Nuclear Power Station;21.4408333333333,61.2369444444444,0;61.2369444444444;21.4408333333333
Onagawa Nuclear Power Station;141.499722222222,38.4011111111111,0;38.4011111111111;141.499722222222
Oskarshamn Nuclear Power Station;16.6711111111111,57.4155555555556,0;57.4155555555556;16.6711111111111
Paks Nuclear Power Station;18.8541666666667,46.5725,0;46.5725;18.8541666666667
Palo Verde Nuclear Power Station;-112.865,33.3891666666667,0;33.3891666666667;-112.865
Paluel Nuclear Power Plant;0.635555555555556,49.8580555555556,0;49.8580555555556;0.635555555555556
Penly Nuclear Power Station;1.21194444444444,49.9766666666667,0;49.9766666666667;1.21194444444444
Peach Bottom Nuclear Generating Station;-76.2680555555555,39.7583333333333,0;39.7583333333333;-76.2680555555555
Perry Nuclear Power Station;-81.1433333333333,41.8008333333333,0;41.8008333333333;-81.1433333333333
Philippsburg Nuclear Power Station;8.43638888888889,49.2525,0;49.2525;8.43638888888889
Pickering Nuclear Generating Station;-79.0658333333333,43.8116666666667,0;43.8116666666667;-79.0658333333333
Point Beach Nuclear Plant;-87.5366666666667,44.2811111111111,0;44.2811111111111;-87.5366666666667
Prairie Island Nuclear Power Station;-92.6330555555555,44.6216666666667,0;44.6216666666667;-92.6330555555555
Qinshan Nuclear Power Station;120.956388888889,30.4355555555556,0;30.4355555555556;120.956388888889
Quad Cities Nuclear Power Station;-90.31,41.7263888888889,0;41.7263888888889;-90.31
Rajasthan Atomic Power Station;75.6138888888889,24.8722222222222,0;24.8722222222222;75.6138888888889
Ringhals Nuclear Power Station;12.1108333333333,57.2597222222222,0;57.2597222222222;12.1108333333333
Rivne Nuclear Power Station;25.8916666666667,51.3277777777778,0;51.3277777777778;25.8916666666667
Rostov Nuclear Power Plant;42.3719444444444,47.5994444444444,0;47.5994444444444;42.3719444444444
Saint-Alban Nuclear Power Station;4.75444444444444,45.4044444444444,0;45.4044444444444;4.75444444444444
Saint-Laurent Nuclear Power Station;1.5775,47.72,0;47.72;1.5775
Saint Lucie Nuclear Power Station;-80.2463888888889,27.3486111111111,0;27.3486111111111;-80.2463888888889
Salem Nuclear Power Station;-75.5355555555555,39.4627777777778,0;39.4627777777778;-75.5355555555555
Sanmen;121.639722222222,29.1011111111111,0;29.1011111111111;121.639722222222
